IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10
IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 18:69:d8:aa:41:cc, Destination MAC: ff:ff:ff:ff:ff:ff, Source IP: 192.168.0.112, Destination IP: 255.255.255.255, Source Port: 65379, Destination Port: 6667

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 1.1.1.1, Source Port: 37201, Destination Port: 53

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 1.1.1.1, Destination IP: 192.168.0.105, Source Port: 53, Destination Port: 37201

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 45.134.141.86, Source Port: 36886, Destination Port: 443, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 45.134.141.86, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 54.207.255.179, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 40790, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 54.207.255.179, Source Port: 40790, Destination Port: 443, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 54.207.255.179, Source Port: 40790, Destination Port: 443, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 45.134.141.86, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 36886, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 45.134.141.86, Source Port: 36886, Destination Port: 443, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 54.207.255.179, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 40790, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 54.207.255.179, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 40790, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 54.207.255.179, Source Port: 40790, Destination Port: 443, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 201.66.172.205, Destination IP: 192.168.0.105, Source Port: 59366, Destination Port: 36886, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 44.216.98.239, Source Port: 41312, Destination Port: 443, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 44.216.98.239, Source Port: 41312, Destination Port: 443, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 44.216.98.239, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 41312, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 44.216.98.239, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 41312, TCP Flags: 10

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 44.216.98.239, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 41312, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 201.66.172.205, Source Port: 36886, Destination Port: 59366, TCP Flags: 18

IP Version: IPv4, Source MAC: 06:f2:67:20:77:c8, Destination MAC: 58:6c:25:a2:29:2f, Source IP: 44.216.98.239, Destination IP: 192.168.0.105, Source Port: 443, Destination Port: 41312, TCP Flags: 18

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 44.216.98.239, Source Port: 41312, Destination Port: 443, TCP Flags: 10

IP Version: IPv4, Source MAC: 58:6c:25:a2:29:2f, Destination MAC: 06:f2:67:20:77:c8, Source IP: 192.168.0.105, Destination IP: 44.216.98.239, Source Port: 41312, Destination Port: 443, TCP Flags: 18

